,isactive_engaged,isactive_interested,isactive_subscribed,patient_id,greater1
6913,0,0,0,36869.0,1.0
7522,0,0,0,40590.0,1.0
6496,1,1,1,34529.0,1.0
4604,0,1,0,26115.0,1.0
4205,1,1,0,24032.0,1.0
9972,0,0,0,53648.0,1.0
4825,0,1,0,26937.0,1.0
8039,1,1,1,43376.0,1.0
7660,0,0,0,41222.0,1.0
4872,0,0,0,27073.0,0.0
1739,1,1,1,10208.0,1.0
7464,0,1,0,40267.0,1.0
5034,0,1,0,27710.0,1.0
9640,0,0,0,51630.0,1.0
5447,0,0,0,29031.0,0.0
5837,0,0,0,30494.0,1.0
3540,0,0,0,20234.0,1.0
4938,0,0,0,27397.0,1.0
1563,1,1,1,9474.0,1.0
4899,0,1,0,27204.0,1.0
8045,0,0,0,43404.0,0.0
6680,0,0,0,35474.0,1.0
3973,0,0,0,22597.0,1.0
2423,0,0,0,14674.0,1.0
7968,1,1,0,43083.0,1.0
9119,0,0,0,48831.0,1.0
9449,0,0,0,50515.0,1.0
3312,0,0,0,19037.0,1.0
3680,0,0,0,20898.0,0.0
7361,0,0,0,39688.0,0.0
6084,1,1,0,31943.0,1.0
3467,0,0,0,19833.0,1.0
8847,0,0,0,47288.0,0.0
6066,0,0,0,31892.0,0.0
9389,1,1,1,50157.0,1.0
833,1,1,0,6536.0,1.0
6759,0,0,0,35909.0,1.0
8094,0,0,0,43649.0,1.0
2304,1,1,1,13954.0,1.0
5235,1,1,1,28367.0,1.0
3350,1,1,1,19295.0,1.0
6795,1,1,1,36109.0,1.0
3143,0,1,0,18025.0,1.0
4509,1,1,1,25657.0,1.0
4226,0,0,0,24142.0,1.0
4645,0,1,0,26249.0,1.0
9216,0,0,0,49363.0,1.0
9787,0,0,0,52411.0,0.0
7463,0,0,0,40266.0,0.0
8886,0,1,0,47560.0,1.0
1197,1,1,1,7893.0,1.0
5271,0,0,0,28473.0,1.0
5309,0,0,0,28573.0,0.0
6596,1,1,0,34968.0,1.0
1429,0,0,0,8804.0,1.0
7724,1,1,1,41639.0,1.0
6649,0,0,0,35296.0,0.0
1153,1,1,1,7697.0,1.0
8884,0,0,0,47535.0,1.0
10105,0,0,0,54603.0,0.0
4534,1,1,1,25777.0,1.0
3265,0,0,0,18860.0,0.0
5727,0,0,0,29999.0,1.0
964,1,1,1,7103.0,1.0
4830,0,1,0,26957.0,1.0
5815,0,0,0,30432.0,0.0
6594,0,1,0,34955.0,1.0
8830,0,0,0,47196.0,1.0
1483,0,1,0,9081.0,1.0
2337,0,0,0,14184.0,1.0
3101,0,0,0,17752.0,0.0
7972,0,0,0,43098.0,0.0
1426,0,0,0,8795.0,0.0
6245,0,1,0,32937.0,1.0
5839,0,1,0,30551.0,1.0
5803,1,1,0,30360.0,1.0
1057,1,1,0,7438.0,1.0
7106,0,0,0,38166.0,0.0
8727,0,1,0,46662.0,1.0
2995,0,0,0,17221.0,0.0
8092,0,0,0,43640.0,1.0
5060,1,1,0,27811.0,1.0
10147,0,0,0,54842.0,1.0
1544,1,1,1,9388.0,1.0
2982,0,0,0,17174.0,1.0
6930,1,1,1,36896.0,1.0
9768,0,0,0,52297.0,1.0
724,1,1,1,6166.0,1.0
4474,0,0,0,25390.0,1.0
5711,0,1,0,29916.0,1.0
1127,1,1,1,7621.0,1.0
3181,0,1,0,18347.0,1.0
5362,0,0,0,28685.0,1.0
5003,0,0,0,27590.0,1.0
7046,1,1,1,37766.0,1.0
7553,0,0,0,40733.0,0.0
5768,1,1,0,30145.0,1.0
8225,0,0,0,44241.0,0.0
1561,1,1,1,9449.0,1.0
9187,0,0,0,49091.0,0.0
8861,0,1,0,47331.0,1.0
8119,1,1,1,43760.0,1.0
5712,0,0,0,29917.0,1.0
3027,1,1,0,17329.0,1.0
7250,0,0,0,38945.0,1.0
4392,0,1,0,24888.0,1.0
3776,1,1,1,21445.0,1.0
2167,1,1,0,12594.0,1.0
5979,0,0,0,31459.0,1.0
7477,1,1,1,40290.0,1.0
10120,0,0,0,54650.0,1.0
8441,0,0,0,45340.0,1.0
9910,0,1,0,53195.0,1.0
7825,0,0,0,42206.0,1.0
1392,0,0,0,8633.0,1.0
7935,0,0,0,42823.0,1.0
6887,0,1,0,36687.0,1.0
6627,0,1,0,35124.0,1.0
5403,0,0,0,28877.0,1.0
8772,0,1,0,46862.0,1.0
17,1,1,1,1593.0,1.0
1770,0,0,0,10356.0,1.0
1888,0,0,0,10924.0,1.0
1642,0,1,0,9839.0,1.0
132,1,1,1,3393.0,1.0
8293,0,0,0,44705.0,1.0
8093,0,1,0,43644.0,1.0
3284,0,0,0,18954.0,1.0
9957,0,0,0,53520.0,1.0
1095,1,1,1,7545.0,1.0
5489,0,0,0,29147.0,1.0
5169,0,0,0,28175.0,1.0
527,0,0,0,5350.0,1.0
6771,1,1,1,35993.0,1.0
2002,0,1,0,11470.0,1.0
3773,0,0,0,21409.0,1.0
168,1,1,1,3776.0,1.0
6987,1,1,1,37319.0,1.0
1919,0,1,0,11049.0,1.0
10107,0,1,0,54609.0,1.0
4726,0,0,0,26525.0,1.0
6037,0,0,0,31749.0,0.0
7704,1,1,0,41495.0,1.0
9590,0,0,0,51376.0,1.0
6473,1,1,0,34347.0,1.0
8136,0,1,0,43807.0,1.0
1298,1,1,1,8292.0,1.0
2513,1,1,0,15074.0,1.0
1352,1,1,1,8446.0,1.0
3206,0,1,0,18440.0,1.0
7676,1,1,1,41299.0,1.0
1287,0,0,0,8249.0,1.0
2249,0,0,0,13377.0,0.0
6632,1,1,0,35165.0,1.0
3058,1,1,0,17551.0,1.0
7936,0,0,0,42826.0,1.0
2013,0,0,0,11501.0,0.0
3819,0,1,0,21692.0,1.0
4919,0,1,0,27303.0,1.0
9949,0,0,0,53493.0,1.0
8025,0,0,0,43282.0,1.0
8739,0,0,0,46708.0,1.0
2147,1,1,1,12437.0,1.0
8868,1,1,0,47421.0,1.0
6962,0,0,0,37192.0,0.0
8961,0,1,0,47955.0,1.0
449,0,0,0,4967.0,1.0
6087,0,0,0,31958.0,1.0
5247,0,1,0,28400.0,1.0
810,0,0,0,6451.0,1.0
8803,0,0,0,47025.0,1.0
6751,0,1,0,35884.0,1.0
4794,0,0,0,26813.0,1.0
7213,0,1,0,38764.0,1.0
7289,0,0,0,39306.0,0.0
7817,1,1,0,42186.0,1.0
9918,0,1,0,53217.0,1.0
8869,0,0,0,47422.0,0.0
1477,1,1,1,9047.0,1.0
1790,0,0,0,10405.0,0.0
2008,0,1,0,11490.0,1.0
682,0,0,0,6075.0,1.0
9807,1,1,0,52535.0,1.0
4338,0,0,0,24649.0,1.0
6908,0,0,0,36850.0,1.0
57,1,1,0,2208.0,1.0
2254,1,1,1,13404.0,1.0
4995,1,1,0,27573.0,1.0
10093,0,1,0,54566.0,1.0
6597,1,1,1,34973.0,1.0
46,1,1,1,2149.0,1.0
30,1,1,1,1979.0,1.0
4972,0,0,0,27528.0,1.0
4828,0,0,0,26947.0,1.0
1468,1,1,1,9006.0,1.0
1665,0,1,0,9943.0,1.0
1416,1,1,1,8758.0,1.0
2542,1,1,1,15228.0,1.0
7903,1,1,1,42680.0,1.0
2648,1,1,0,15710.0,1.0
7685,0,0,0,41350.0,1.0
7887,0,0,0,42591.0,1.0
429,1,1,1,4895.0,1.0
5457,0,0,0,29052.0,1.0
2270,0,0,0,13545.0,1.0
385,1,1,1,4743.0,1.0
1945,0,0,0,11153.0,1.0
4382,1,1,1,24822.0,1.0
473,1,1,1,5046.0,1.0
6870,1,1,1,36521.0,1.0
3542,0,0,0,20251.0,1.0
6817,0,1,0,36254.0,1.0
10185,0,0,0,55078.0,1.0
1055,1,1,0,7434.0,1.0
3487,1,1,0,19942.0,1.0
5479,0,0,0,29114.0,1.0
7389,0,0,0,39813.0,0.0
7176,0,0,0,38497.0,0.0
811,0,0,0,6452.0,1.0
9610,0,0,0,51504.0,1.0
2935,0,1,0,17014.0,1.0
4618,1,1,1,26191.0,1.0
8158,0,0,0,43867.0,1.0
6476,0,0,0,34373.0,0.0
111,0,0,0,2587.0,0.0
9080,0,0,0,48618.0,0.0
1745,1,1,1,10254.0,1.0
9846,0,0,0,52731.0,1.0
1452,1,1,1,8928.0,1.0
2149,1,1,0,12442.0,1.0
319,1,1,1,4504.0,1.0
8043,1,1,0,43398.0,1.0
2926,0,0,0,16954.0,0.0
1922,0,1,0,11057.0,1.0
6098,1,1,0,32016.0,1.0
7834,0,0,0,42232.0,1.0
3555,0,1,0,20308.0,1.0
4436,0,0,0,25170.0,0.0
7894,0,0,0,42616.0,1.0
2129,1,1,1,12260.0,1.0
8805,0,0,0,47030.0,0.0
2564,1,1,0,15317.0,1.0
9649,0,0,0,51657.0,1.0
4336,0,0,0,24646.0,1.0
1052,0,1,0,7427.0,1.0
8824,0,0,0,47151.0,1.0
